Crosswalk2023_CBSA Code,NRI_AVLN_EALPE,NRI_CFLD_EALPE,NRI_CWAV_EALPE,NRI_ERQK_EALPE,NRI_HAIL_EALPE,NRI_HWAV_EALPE,NRI_HRCN_EALPE,NRI_ISTM_EALPE,NRI_LNDS_EALPE,NRI_LTNG_EALPE,NRI_RFLD_EALPE,NRI_SWND_EALPE,NRI_TRND_EALPE,NRI_TSUN_EALPE,NRI_VLCN_EALPE,NRI_WFIR_EALPE,NRI_WNTW_EALPE,NRI_AVLN_EALB,NRI_CFLD_EALB,NRI_CWAV_EALB,NRI_ERQK_EALB,NRI_HAIL_EALB,NRI_HWAV_EALB,NRI_HRCN_EALB,NRI_ISTM_EALB,NRI_LNDS_EALB,NRI_LTNG_EALB,NRI_RFLD_EALB,NRI_SWND_EALB,NRI_TRND_EALB,NRI_TSUN_EALB,NRI_VLCN_EALB,NRI_WFIR_EALB,NRI_WNTW_EALB,NRI_AVLN_EXPPE,NRI_CFLD_EXPPE,NRI_CWAV_EXPPE,NRI_ERQK_EXPPE,NRI_HAIL_EXPPE,NRI_HWAV_EXPPE,NRI_HRCN_EXPPE,NRI_ISTM_EXPPE,NRI_LNDS_EXPPE,NRI_LTNG_EXPPE,NRI_RFLD_EXPPE,NRI_SWND_EXPPE,NRI_TRND_EXPPE,NRI_TSUN_EXPPE,NRI_VLCN_EXPPE,NRI_WFIR_EXPPE,NRI_WNTW_EXPPE,NRI_AVLN_EXPB,NRI_CFLD_EXPB,NRI_CWAV_EXPB,NRI_ERQK_EXPB,NRI_HAIL_EXPB,NRI_HWAV_EXPB,NRI_HRCN_EXPB,NRI_ISTM_EXPB,NRI_LNDS_EXPB,NRI_LTNG_EXPB,NRI_RFLD_EXPB,NRI_SWND_EXPB,NRI_TRND_EXPB,NRI_TSUN_EXPB,NRI_VLCN_EXPB,NRI_WFIR_EXPB,NRI_WNTW_EXPB,NRI_BUILDVALUE,NRI_POPULATION,NRI_AREA
30820.0,0.0,0.0,40872.30655108292,2612.2913068685925,6459.907809771508,22960.572446290033,9948.20442216463,272.3546861515334,35843.046830951644,169679.54230154143,443909.2656553573,290249.1856602215,136219.75871018486,0.0,0.0,238.14857265365907,26373.43788853552,0.0,0.0,170.5819995310471,8324.1,1393.268748317212,0.016562373166102,546001.2063783004,1057.01468004815,10929.866734350817,1742.5610617927389,170467.91913145588,44059.24037183273,167528.57050882856,0.0,0.0,2805.2643408203285,11721.72684812198,0.0,0.0,434233939776.9601,434420000000.0,434234400000.0,381348688368.5525,434233939776.96,434234400000.0,217321382805.41687,434234400000.0,61113789351.3316,434234400000.0,434234400000.0,0.0,0.0,29984609367.61808,434233939776.96,0.0,0.0,6302286785.99941,6302185000.0,6302292926.0,5220087531.982738,6302286785.99941,6302292926.0,3388686753.8971376,6302292926.0,959706824.6572592,6302292926.0,6302292926.0,0.0,0.0,444608608.5874543,6302286785.99941,6302292926.0,37434.0,905.9883417000002
30860.0,244952.6682605428,0.0,24725.867850547755,7763698.468532175,26957.26020251374,855956.3559440373,0.0,26308.119363610764,116582.18544408382,338545.039821633,589126.3737145014,148911.89889920014,247016.1630075851,0.0,0.0,53.519135845616574,1978992.113061618,633.1174266508385,0.0,549.9478554552994,16182984.1,3390.343690063447,4143.125382064766,0.0,56855.93930692567,29557.84736517398,2579.009574254189,82104.01382739202,144616.32569022302,111211.64275068109,0.0,0.0,1170428.6836979557,48274.87488322732,58000000.0,0.0,181507624643.9179,1709236800000.0,1708158000000.0,1541790399834.1763,0.0,1708158000000.0,432653301954.2063,1708158000000.0,32915455252.320656,1708158000000.0,1708158000000.0,0.0,0.0,125867053675.55574,1708158000000.0,1000000.0,0.0,2811826437.444368,19943886000.0,19944129408.0,17390346812.70735,0.0,19944129408.0,5409578505.11578,19944129408.0,431852029.58399695,19944129408.0,19944129408.0,0.0,0.0,1422664438.1247687,19944129408.0,19944129408.0,147255.0,1859.1650337
30900.0,0.0,0.0,43976.111026979495,22738.98437214228,623.2708297892264,18211.79548617932,237.41025333730812,896.9180642066416,17399.999999998985,46599.63024115486,66929.24838585789,574296.9114331445,744237.557360505,0.0,0.0,683.9039499981005,8437.487606618166,0.0,0.0,33.47225606909302,213600.8,1616.5106014696291,1108.8414054877544,40452.4404301517,4367.74511938096,4499.99999999999,795.9519205615109,122981.80804960676,410252.59656441165,527058.5156607595,0.0,0.0,8485.969357769156,1179.1670234960263,0.0,0.0,439106400000.0,439292000000.0,439106400000.0,439106400000.0,438961868549.38184,439051102217.76166,63812333520.95014,439106400000.0,11716201996.051588,439106400000.0,439106400000.0,0.0,0.0,113167373123.00095,439106400000.0,0.0,0.0,7355988892.0,7355869000.0,7355988892.0,7355988892.0,7353712489.55383,7355495647.537651,1263288028.620388,7355988892.0,174398310.2836225,7355988892.0,7355988892.0,0.0,0.0,2121492393.0356407,7355988892.0,7355988892.0,37854.0,419.03566848
30980.0,0.0,0.0,0.0,189528.27731436456,20349.793358980176,2738710.9724800256,51174.23254145813,334802.3181239173,69600.00000000096,1058778.6943634353,3782777.9809872624,4097937.9399236427,21891568.151803523,0.0,0.0,85480.40621209884,632460.6050799314,0.0,0.0,0.0,731941.9,2659086.211376709,1967.199833224511,2771082.46999982,38730.32209949591,17999.99999999998,64809.569844139885,212611.53899377523,1285627.9302811113,9506956.174516879,0.0,0.0,1230171.8568142485,1092286.6424822325,0.0,0.0,0.0,3319734400000.0,3313934400000.0,3313934347302.36,3311596472838.7993,3313200039155.1113,395571970158.95245,3313934400000.0,67923765665.5362,3313934400000.0,3313934400000.0,0.0,0.0,312435347682.01337,3313934347302.3604,0.0,0.0,0.0,54536291000.0,54537114125.0,54537114022.950836,54508585464.78604,54531534248.31241,6381104120.757869,54537114125.0,1413519239.101846,54537114125.0,54537114125.0,0.0,0.0,5100416749.41749,54537114022.950836,54537114125.0,285684.0,2750.17014792
31020.0,61532.536375386975,65164.41760415992,1531.0643475295697,11803587.691419419,6377.390922507574,86740.38561332977,0.0,44578.44131385302,140760.5376533894,32470.909052558512,314848.8935565977,28513.301342267863,127070.94240695148,13.570237156255724,775958.1854174552,11.215111061499467,19678.48951224989,79.13967830167745,499790.8229386234,2.587821210301533,25567975.0,395.63791210370334,21500.82845373898,0.0,41362.10938113056,772370.443436825,5539.194782223869,251586.77196156225,8586.51816993261,95230.48288620893,341.19621033229373,5922870.302393442,20819.627739253458,1389.9850286248588,58000000.0,409132206253.9415,4744400000.0,1284468000000.0,1283528400000.0,1283528400000.0,0.0,1283528400000.0,545466901908.6261,1283528400000.0,55229125042.70688,1283528400000.0,1283528400000.0,1193808994.0098152,1275323701409.583,358858963424.1187,1283528400000.0,1000000.0,9125747682.389738,88787817.0,22121351000.0,22121679183.0,22121679183.0,0.0,22121679183.0,7911056225.128034,22121679183.0,782861359.2327529,22121679183.0,22121679183.0,111227776.00507583,22001555220.96091,5197909015.637892,22121679183.0,22121679183.0,110649.0,1178.20600209
31060.0,0.0,0.0,19305.2482870062,137628.76926016394,5500.7094072677055,0.0,0.0,383.6324419191481,17399.999999999523,119996.07303894489,9076.807998398079,12057.811590391064,4371.15423179905,0.0,0.0,385.24825536983536,71259.15695866487,0.0,0.0,30.531827292011045,434951.5,17018.22644561698,0.0,0.0,29.155376354158847,4499.999999999984,3389.870290333504,38105.528007381086,2331.1408341295914,16871.15446074949,0.0,0.0,1289906.7887840196,5934.352260359386,0.0,0.0,225260400000.0,225260400000.0,225260400000.0,0.0,0.0,225260400000.0,149017731679.3659,225260400000.0,576667937.4258687,225260400000.0,225260400000.0,0.0,0.0,67176796593.96274,225260400000.0,0.0,0.0,4429510771.0,4429467000.0,4429510771.0,0.0,0.0,4429510771.0,3135329448.4906254,4429510771.0,14929591.67442261,4429510771.0,4429510771.0,0.0,0.0,1394434564.6996822,4429510771.0,4429510771.0,19419.0,110.30559267
31080.0,61532.536375386975,60674.272399797206,0.0,1375547485.6487877,79080.62978664046,6109568.841734507,0.0,0.0,61277.17008028594,903533.74239752,3633362.606345724,710406.2828778253,6329390.013544857,40174.00853031479,0.0,381565.10610022326,45863.89559864287,79.13967830167745,72417.4223186913,0.0,3330920997.9,25241.03845560773,3705.638204430782,0.0,0.0,549497.7465139916,18232.637960335847,6336815.504751152,60308.40620714924,14782720.921140712,5197.672471932531,0.0,157997190.3756123,704.2368814980728,58000000.0,1939341292286.9941,0.0,153131576800000.0,152996564400000.0,152925153997917.28,0.0,0.0,22247092743859.145,152996564400000.0,1924667961883.5137,152996564400000.0,152996564400000.0,1100326694976.4736,0.0,1932284771965.5142,5498601440152.193,1000000.0,41650702605.232155,0.0,2057881266000.0,2057910830774.0,2056829229865.8354,0.0,0.0,370941306913.94775,2057910830774.0,26156928337.02775,2057910830774.0,2057910830774.0,23754816497.396404,0.0,37832859868.53836,70019755075.43669,2057910830774.0,13189359.0,5756.68815774
31140.0,0.0,0.0,1451629.4583809834,5966489.878288276,747602.855647188,3647590.507763467,1669.45009645461,533172.7189817855,221399.73244114313,3999703.893212913,4979044.430788271,13721060.310956499,91296789.93930626,0.0,0.0,35773.931232767725,283672.53689831257,0.0,0.0,21394.00514561649,18656642.8,2146711.834036461,42010.662453551085,303148.8532082317,1960718.8700205507,157751.4970926808,207031.43307933473,19648684.441856652,2773146.9102171324,36880258.465094,0.0,0.0,352449.53791867365,516306.4960721497,0.0,0.0,15793284000000.0,15801288000000.0,15793284000000.0,15793284000000.0,15781824672950.086,15750567910240.854,3205689448592.152,15793284000000.0,572482389915.6669,15793284000000.0,15793284000000.0,0.0,0.0,5885045101345.993,15793284000000.0,0.0,0.0,250235514557.0,250231782000.0,250235514557.0,250235514557.0,249979057384.54126,249641291431.03867,52240841197.475815,250235514557.0,9738338356.234358,250235514557.0,250235514557.0,0.0,0.0,87514924105.92352,250235514557.0,250235514557.0,1361490.0,4080.7729158300003
31180.0,0.0,0.0,1727371.39826221,46168.57838280582,241215.4281114309,578545.4548479152,1528.6998203741962,292783.28673403367,23565.331597337423,608105.923157378,12510740.164580183,1468569.5164491015,23257627.2864858,0.0,0.0,12495.249150764472,1129753.614427835,0.0,0.0,116883.88519967058,154215.5,23885852.27388466,147.69065210169737,136493.32938791756,191372.2059576533,6386.645745089509,223644.35151151344,1784131.2932200145,14751350.015439874,8532952.926820876,0.0,0.0,3252071.106060836,2061290.8757950768,0.0,0.0,4060902892538.9204,4074708800000.0,4060904800000.0,4060902892538.9194,4060898224351.129,4060694587488.596,267768977212.37067,4060904800000.0,188948074885.17368,4060904800000.0,4060904800000.0,0.0,0.0,238699009679.52945,4060902892538.9194,0.0,0.0,59001246483.90356,59000072000.0,59001287019.0,59001246483.903564,59000690921.46175,58998040822.31541,3690751123.57765,59001287019.0,2973283271.002269,59001287019.0,59001287019.0,0.0,0.0,3540793367.265561,59001246483.90356,59001287019.0,350078.0,5329.06898199
31220.0,0.0,66.8151594907814,92346.32739402371,2194.3691945066753,5335.52810391552,65500.69108374053,35.71987999999994,296.5804135718158,17399.999999998505,70432.51879429059,13138.250372993423,126173.38937121377,117658.00818557107,0.0,0.0,4247.700357259343,69404.88211549481,0.0,21611.99383754955,34.667682783748106,10819.8,19122.859096098473,197.62454891534256,11125.532044681348,22174.627445135586,4500.000000000024,19805.64896032636,202680.7620177744,257928.7468699048,135768.89934699016,0.0,0.0,63925.35727525128,10493.950204218414,0.0,2877923393.6233506,336980000000.0,337003200000.0,336980000000.0,336980000000.0,336980000000.0,336980000000.0,56497383851.7351,336980000000.0,3136223541.827964,336980000000.0,336980000000.0,0.0,0.0,42223787224.07716,336980000000.0,0.0,110018212.87727852,7868461211.0,7868367000.0,7868461211.0,7868461211.0,7868461211.0,7868014539.1380415,1518795334.0207753,7868461211.0,116880942.74596864,7868461211.0,7868461211.0,0.0,0.0,997458437.688952,7868461211.0,7868461211.0,29050.0,1254.85613292
31260.0,0.0,0.0,0.085137269383329,30296.649950848278,2096.2979979962265,4154229.359668664,59637.90030973417,51546.00073903017,17400.000000000666,541039.095986307,2339159.2260043393,1004653.4449119122,296954.39249045914,0.0,0.0,128850.45945947708,6214.9511367100395,0.0,0.0,0.001270433992062,98472.9,370223.73683641513,419.8837909513815,2640483.038367863,8060.463349076779,4499.999999999999,12098.38134847234,64943.67454060593,400619.42141634907,1294842.1868728902,0.0,0.0,817522.8075085969,809.5090621782133,0.0,0.0,77952610.075146,1002182000000.0,1000732000000.0,1000732000000.0,1000732000000.0,1000732000000.0,61905919944.65528,1000732000000.0,35537534566.58433,1000732000000.0,1000732000000.0,0.0,0.0,158483347858.19135,1000732000000.0,0.0,0.0,1472602.6269670925,12849365000.0,12849608964.0,12849608964.0,12849608964.0,12849608964.0,924111262.2782348,12849608964.0,618666926.170568,12849608964.0,12849608964.0,0.0,0.0,1615716766.307321,12849608964.0,12849608964.0,86270.0,873.50675217
31300.0,0.0,0.0,0.0,225107.956827572,43294.816324052736,464436.1173779956,575147.2943016451,70245.62215235953,17399.9999999989,88349.76979655882,535882.8654854628,422338.96208592656,7190689.869791884,0.0,0.0,18186.95523743889,317196.6453566576,0.0,0.0,0.0,940457.4,17904.29920758543,8684.190697271019,28593526.23338184,476681.3180594199,4499.999999999996,62311.31810634268,379076.8544229763,1662398.9308123973,1965213.4700053264,0.0,0.0,104640.26101421635,6838.653408962155,0.0,0.0,0.0,1351748000000.0,1350402400000.0,1350402123064.384,1350396776830.336,1350292915726.715,46947409451.6142,1350402400000.0,76425797502.87772,1350402400000.0,1350402400000.0,0.0,0.0,85063967645.5536,1350402123064.384,0.0,0.0,0.0,18418583000.0,18418983651.0,18418982331.69601,18418763501.671383,18417954084.79049,452534165.7050416,18418983651.0,1526800978.3144364,18418983651.0,18418983651.0,0.0,0.0,780661529.9878958,18418982331.69601,18418983651.0,116414.0,958.83774441
31340.0,0.0,0.0,24823.418487830953,130810.43309638025,122263.57965163184,16414.82737281694,91703.42837727911,1798.7848263447913,105653.91651047023,1575471.8022556955,306783.361677052,1082649.7589788055,603297.7417131979,0.0,0.0,7269.153669444513,208104.80352172663,0.0,0.0,22.775121269409922,512820.80000000005,18091.696410802506,0.011000685234881001,3628005.433886613,29042.558648979084,286775.16436693864,75530.10301954932,1011004.129080476,823155.8436097454,787410.5339433914,0.0,0.0,486000.5232473139,61540.97674354694,0.0,0.0,364874695318.53766,3034478800000.0,3033968400000.0,1105075397704.7112,3033961829683.1587,3033968400000.0,1544093787758.4048,3033968400000.0,23519996559.69175,3033968400000.0,3033968400000.0,0.0,0.0,132303564390.18259,3033632000000.0,0.0,0.0,4606007804.394943,44601038000.0,44601802422.0,17600428696.04908,44601774994.73567,44601802422.0,23502422326.261124,44601802422.0,622972814.3931459,44601802422.0,44601802422.0,0.0,0.0,1902897394.1118762,44599903017.0,44601802422.0,261549.0,2168.5892213700004
31380.0,0.0,0.0,81303.24592975754,70862.9282731453,21848.41379189244,635795.3799967996,22.938754080000063,29606.792147334418,17400.00000000109,82535.04608635786,8978.749937834633,117253.37761112885,647549.1950431033,0.0,0.0,73.29728378354129,65635.0709635244,0.0,0.0,422.4433261402724,119001.1,7992.531335674183,750.1263554073186,3262.8570739088027,705.505565839752,4499.999999999989,139.26899012695398,7279.893702075506,108315.2542540168,327613.4827609819,0.0,0.0,375.77189155286106,73.8069468745247,0.0,0.0,315960752984.968,315960800000.0,315960800000.0,315960752984.968,315960800000.0,315960752984.968,24778860950.16156,315960800000.0,428662358.1037373,315960800000.0,315960800000.0,0.0,0.0,11206207017.091854,315960752984.968,0.0,0.0,2985776564.978901,2985707000.0,2985776971.0,2985776564.978901,2985776971.0,2985776564.978901,190065536.1251667,2985776971.0,2307463.1946825846,2985776971.0,2985776971.0,0.0,0.0,88153764.33422557,2985776564.9789014,2985776971.0,27238.0,596.05734123
