Crosswalk2013_CBSA Code,AVLN_EALPE,CFLD_EALPE,CWAV_EALPE,ERQK_EALPE,HAIL_EALPE,HWAV_EALPE,HRCN_EALPE,ISTM_EALPE,LNDS_EALPE,LTNG_EALPE,RFLD_EALPE,SWND_EALPE,TRND_EALPE,TSUN_EALPE,VLCN_EALPE,WFIR_EALPE,WNTW_EALPE,AVLN_EALB,CFLD_EALB,CWAV_EALB,ERQK_EALB,HAIL_EALB,HWAV_EALB,HRCN_EALB,ISTM_EALB,LNDS_EALB,LTNG_EALB,RFLD_EALB,SWND_EALB,TRND_EALB,TSUN_EALB,VLCN_EALB,WFIR_EALB,WNTW_EALB,AVLN_EXPPE,CFLD_EXPPE,CWAV_EXPPE,ERQK_EXPPE,HAIL_EXPPE,HWAV_EXPPE,HRCN_EXPPE,ISTM_EXPPE,LNDS_EXPPE,LTNG_EXPPE,RFLD_EXPPE,SWND_EXPPE,TRND_EXPPE,TSUN_EXPPE,VLCN_EXPPE,WFIR_EXPPE,WNTW_EXPPE,BUILDVALUE,POPULATION
34540.0,0.0,0.0,8250.041526665633,30322.615633548572,3307.1900924595607,47742.2678310809,542.2165719006151,149.44347604503736,17400.000000000156,147688.54247109883,265100.7266680095,129368.34790564496,361368.1682447855,0.0,0.0,2022.4382838154236,56011.3830843556,0.0,0.0,3290.724984187549,102834.5,72259.63900048884,171.373913290674,63231.785473425385,325413.4203831987,4499.999999999975,13347.902379648063,895678.1461753726,350436.7367083348,1190822.9307809144,0.0,0.0,24876.203920694446,414858.5349799666,0.0,0.0,727215600000.0,727563600000.0,727215600000.0,727215600000.0,724833428182.0823,723487616037.58,238647346353.0536,727215600000.0,29004263250.46283,727215600000.0,727215600000.0,0.0,0.0,334577962042.0047,727215600000.0,14262973508.0,62691.0
34580.0,624067.9389,3812001.049477277,0.478261620077173,6122929.890035434,1177.0594210385395,11932.071642990508,0.0,15638.250199080032,80777.45407239764,62488.78290084033,27736.84859311136,1918.7027823462768,51987.4627495868,602.6381919348725,353955.3454256796,72.04338532494354,21056.365419988422,712.2571049999999,1214749.7609798631,0.001213703388216,18170499.4,514.2128422091859,6435.574015037379,0.0,20831.0229117804,581592.362443606,4327.397686022073,384754.85243284894,2361.255796578732,22627.888385849514,7053.890064992669,2653297.753384376,30041.790050771,43.98531692674919,58000000.0,78921406716.22801,916616488.4345396,1502466800000.0,1500576000000.0,1500576000000.0,0.0,1498860964956.0464,585155137241.8795,1500576000000.0,298570721903.67303,1500576000000.0,1500576000000.0,42320076222.65171,1492331316460.235,277857129040.41266,1500576000000.0,26499810042.0,129360.0
34620.0,0.0,0.0,89349.34707440165,179253.11511000176,2155.4325385846314,53821.35470594618,443.2377507686228,105113.23432121398,17399.999999995565,263954.79662607063,765502.9839826853,404479.07689992257,3324315.089057425,0.0,0.0,2066.3715565386806,125736.94801952048,0.0,0.0,4464.1132443269325,974978.0,2635072.8689967752,3391.4238130761414,49901.17804091211,12546.366176850068,4258.210204250228,51675.75200776239,673383.9284822689,247226.70774746485,2848749.3340170453,0.0,0.0,24307.204902429054,49434.079024694096,0.0,0.0,1297692000000.0,1298074800000.0,1297692000000.0,1297692000000.0,1289457832690.9927,1294487959567.0725,6870935586.962648,1297692000000.0,37925662864.73401,1297692000000.0,1297692000000.0,0.0,0.0,341927899305.4786,1297692000000.0,22498506796.0,111870.0
34660.0,0.0,0.0,0.0,2874659.49095692,1739.726748585006,243891.8707396905,294.1401645600164,30217.166119441135,17399.999999999476,303778.7980834568,127882.87390794976,73117.97181206675,1507341.147412078,0.0,0.0,997.5678417481314,84890.09161141641,0.0,0.0,0.0,5342795.2,4871.748558228801,11332.318999021092,42246.11085238276,1487098.3694881203,4499.999999999988,2128.1841888857875,51099.391768471025,519084.88087407127,1251685.543965592,0.0,0.0,11372.91407688638,418.79333367650577,0.0,0.0,0.0,430394800000.0,430000400000.0,430000400000.0,429882469229.6898,430000400000.0,85133457988.7042,430000400000.0,5756138622.142596,430000400000.0,430000400000.0,0.0,0.0,65334479149.81219,430000400000.0,8207279995.0,37069.0
34700.0,0.0,0.0,22364.074107590557,33253.97139932753,1895.520983681884,4478.311292561592,13.492778113875689,3941.9230004066217,17400.00000000028,93957.0101955904,514372.75514427904,1124435.9318851444,461449.5031343814,0.0,0.0,3966.8364945067815,30398.75164710065,0.0,0.0,210.37226925075447,143493.9,166857.28598019047,1935.924207353444,5921.625539973703,85116.1974797709,4499.999999999981,273.3059462308394,678651.0485084577,1342865.7138147987,759183.4713366957,0.0,0.0,74115.54177217635,2494.8447557961085,0.0,0.0,501502800000.0,501526000000.0,501502800000.0,501502800000.0,501374831249.01526,501502800000.0,179452650083.5255,501502800000.0,10438606966.854183,501502800000.0,501502800000.0,0.0,0.0,22971859205.713703,501502800000.0,11726136973.0,43233.0
34740.0,0.0,135.72075627171156,553576.8053355161,29845.445172906144,12393.710282681242,548498.937084115,191.27113833686968,5564.528041437628,17400.000000000196,340294.9754325248,46402.48604439322,239641.45712916413,2070192.8385821248,0.0,0.0,4127.544992157636,403214.2348320428,0.0,24861.003474836303,125.2306574023672,104612.7,47517.69378487983,2141.5810773524204,24283.494392843146,179709.41717177033,4500.000000000005,4709.76525221927,101698.78209157876,1511492.7340148655,1393095.8248639028,0.0,0.0,33232.686983412736,5928.580111485368,0.0,6587490035.557825,2038990000000.0,2039558400000.0,2038990000000.0,2038990000000.0,2036782917175.9675,2036396054780.1013,314886012062.19183,2038990000000.0,11076708465.756857,2038990000000.0,2038990000000.0,0.0,0.0,159502891306.84436,2038990000000.0,28440272318.0,175775.0
34780.0,0.0,0.0,182138.5774641286,168681.1752775744,44182.498245916846,4329300.875968415,991.3320636163472,7169.386594166134,31318.354801629823,242158.3096955052,540690.1846534518,668596.3036375928,4122174.158414759,0.0,0.0,69114.58162366573,48242.319261639925,0.0,0.0,1982.3980707202024,510411.5,40140.99917859469,2637.1875218383047,104021.02919248553,1770118.061563867,7266.159222834189,2870.3644694819686,79379.82989532192,281668.90205678414,710881.9297958486,0.0,0.0,1275806.3103028524,764070.5974470336,0.0,0.0,767919287743.9918,769532400000.0,767920000000.0,767919287743.9918,758128715135.5161,767865496492.1661,62524713800.72831,767920000000.0,19588033498.39575,767920000000.0,767920000000.0,0.0,0.0,72279610938.28195,767919287743.9918,11423256328.0,66200.0
34820.0,0.0,123025.96778128797,0.0,2417493.9999143663,119183.91408675635,1812613.0324931783,17311774.13630455,198355.21115666896,34799.99999999794,1941207.6491332431,5823484.005549863,1484046.0585891316,10205457.07931589,0.0,0.0,615672.6956021436,677155.0228397948,0.0,3749886.779423441,0.0,6981506.8,52205.57008391306,45026.422183318355,385027010.9830265,915776.4078822703,9000.0,263322.5817774361,1762737.5429807783,335358.4273911802,6306479.093935908,0.0,0.0,5398052.006071456,51338.32749342097,0.0,558234191003.7134,0.0,5657575200000.0,5623900400000.0,5623899674260.268,5623869785876.338,5607551670537.535,308160135136.91876,5623900400000.0,345692567268.60803,5623900400000.0,5623900400000.0,0.0,0.0,1107241326118.104,5623899674260.269,94495481656.0,484819.0
34860.0,0.0,0.0,0.0,24444.230182913,2213.291033436138,582751.68931988,32357.23600521339,40466.78225686764,17400.000000000517,501586.7999351623,787980.2105669955,1128730.9746880555,5142432.311319423,0.0,0.0,29883.809898770924,78034.99703393166,0.0,0.0,0.0,383859.8,5737.519161825113,3473.838040515506,16305768.879709944,12512.296212202891,135000.00000000003,15219.211588561548,146384.43889799793,7041171.893914534,16866990.759255923,0.0,0.0,2897886.705450598,1443992.1489230378,0.0,0.0,0.0,749974800000.0,747620000000.0,747620000000.0,747620000000.0,747620000000.0,170555480399.89636,747620000000.0,14120043847.45685,747620000000.0,747620000000.0,0.0,0.0,77598241005.33974,747620000000.0,106309177636.0,64450.0
34900.0,0.0,2369.422650308624,0.0,17410434.657251127,1371.4456888261088,132493.55151747147,0.0,0.0,40522.57089418582,97753.26664880056,430913.9534117821,8801.968471903438,28013.888481900616,2.081193163738012,0.0,4349.600285049361,0.235245243672074,0.0,186493.72829571628,0.0,60796015.1,275.4720323225667,119.55974080850064,0.0,0.0,287830.2636058708,1919.1198773294695,8978222.745010441,1520.6787308470828,158758.37194421867,10.727346687629312,0.0,4105912.2289431263,0.008995260045676,0.0,7935160813.623822,0.0,1601020400000.0,1600289600000.0,1558948935554.0647,0.0,0.0,481468164084.00433,1600289600000.0,94145284905.10495,1600289600000.0,1600289600000.0,101834282.2249808,0.0,114579000562.19379,3170756974.545295,33563805976.0,137956.0
