HousingPI22_GEOID,HousingPI22_Metro Name,HousingPI22_GEOID.1,HousingPI22_1980,HousingPI22_1981,HousingPI22_1982,HousingPI22_1983,HousingPI22_1984,HousingPI22_1985,HousingPI22_1986,HousingPI22_1987,HousingPI22_1988,HousingPI22_1989,HousingPI22_1990,HousingPI22_1991,HousingPI22_1992,HousingPI22_1993,HousingPI22_1994,HousingPI22_1995,HousingPI22_1996,HousingPI22_1997,HousingPI22_1998,HousingPI22_1999,HousingPI22_2000,HousingPI22_2001,HousingPI22_2002,HousingPI22_2003,HousingPI22_2004,HousingPI22_2005,HousingPI22_2006,HousingPI22_2007,HousingPI22_2008,HousingPI22_2009,HousingPI22_2010,HousingPI22_2011,HousingPI22_2012,HousingPI22_2013,HousingPI22_2014,HousingPI22_2015,HousingPI22_2016,HousingPI22_2017,HousingPI22_2018,HousingPI22_2019,HousingPI22_2020,HousingPI22_2021,HousingPI22_2022
38940,"Port St. Lucie, FL",38940,3.7,3.5,3.5,3.4,3.5,3.2,3.1,2.9,2.9,2.9,3.0,3.0,3.0,3.0,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.7,3.0,3.4,4.0,4.9,5.0,4.4,3.3,2.6,2.5,2.6,2.7,3.0,3.2,3.7,4.2,4.4,4.3,4.2,4.3,5.2,6.3
39380,"Pueblo, CO",39380,2.4,2.3,2.4,2.5,2.4,2.5,2.6,2.6,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.6,2.7,2.8,2.8,2.8,3.0,3.2,3.4,3.5,3.6,3.7,3.7,3.5,3.6,3.6,3.5,3.5,3.6,3.7,3.9,4.1,4.1,4.1,4.2,4.3,4.8,5.5
39460,"Punta Gorda, FL",39460,4.3,4.2,4.4,4.4,4.3,4.1,4.0,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.4,3.3,3.2,3.1,3.2,3.1,3.2,3.3,3.6,3.9,4.4,5.2,5.3,4.3,3.3,2.6,2.5,2.2,2.7,3.1,3.3,3.7,3.9,4.1,4.1,4.2,4.4,5.3,6.5
39540,"Racine, WI",39540,2.5,2.4,2.2,2.4,2.3,2.2,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.1,2.2,2.3,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.8,3.1,3.2,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.6,2.7,2.7,2.7,2.9,3.0,3.0,3.2,3.6
39580,"Raleigh, NC",39580,3.7,3.6,3.5,3.3,3.3,3.3,3.3,3.2,3.1,3.0,2.8,2.3,2.3,2.3,2.4,2.5,2.7,2.7,2.7,2.6,2.5,2.5,2.7,2.7,2.8,3.1,3.3,3.4,3.2,3.0,3.2,3.3,3.1,3.2,3.3,3.6,3.5,3.6,3.7,3.7,3.9,4.6,5.3
39660,"Rapid City, SD",39660,3.1,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.4,2.3,2.2,2.1,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.6,2.7,2.8,3.0,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.2,3.2,3.2,3.1,3.1,3.2,3.4,4.0
39740,"Reading, PA",39740,2.5,2.4,2.4,2.2,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.4,2.3,2.2,2.1,2.1,2.0,1.9,1.9,2.0,2.0,2.2,2.4,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.7,2.5,2.6,2.7,3.1,3.4
39820,"Redding, CA",39820,4.1,4.3,4.3,4.2,4.0,3.9,4.0,3.9,4.4,4.8,4.6,4.6,4.5,4.2,4.1,3.8,3.7,3.5,3.5,3.3,3.4,3.7,4.3,5.2,6.0,6.9,7.0,6.3,5.4,4.6,4.2,3.6,3.8,4.4,4.8,5.1,4.9,4.9,4.8,4.9,5.1,5.9,6.0
39900,"Reno, NV",39900,3.5,3.6,3.7,3.7,3.5,3.4,3.4,3.3,3.2,3.2,3.4,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4,3.3,3.2,3.3,3.6,4.1,5.4,6.9,6.7,5.8,4.8,3.6,3.5,3.2,3.3,4.2,4.5,5.1,5.2,5.6,5.8,5.6,5.9,7.0,7.9
40060,"Richmond, VA",40060,3.0,2.9,2.8,2.8,2.7,2.7,2.6,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.9,3.1,3.3,3.8,4.1,4.1,3.8,3.6,3.6,3.5,3.4,3.5,3.7,3.7,3.7,3.8,3.9,3.9,4.2,4.6,5.0
40140,"Riverside-San Bernardino-Ontario, CA",40140,4.7,4.7,4.5,4.0,3.8,3.6,3.5,3.4,3.5,3.7,3.9,4.0,4.1,4.0,3.8,3.5,3.2,3.1,3.0,3.0,3.2,3.5,3.9,4.8,6.2,7.4,7.5,6.8,4.4,3.1,3.4,3.3,3.6,4.6,5.0,5.2,5.3,5.4,5.4,5.4,5.8,6.6,7.0
40220,"Roanoke, VA",40220,3.1,3.1,2.7,2.9,3.0,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.9,3.2,3.4,3.7,3.9,4.2,4.5,4.5,4.4,4.3,4.0,3.7,3.6,3.6,3.6,3.6,3.5,3.7,3.6,3.7,3.8,4.3,4.9
40420,"Rockford, IL",40420,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.9,2.1,2.3,2.6,2.5,2.5,2.4,2.3,2.4,2.0,1.9,1.8,1.7,1.8,2.0,2.2,2.1,2.2,2.4,2.7,2.9
40340,"Rochester, MN",40340,3.0,2.7,2.6,2.5,2.3,2.3,2.2,2.2,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.7,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.5,2.7,2.8,2.8,2.8,3.1,3.5
40380,"Rochester, NY",40380,2.1,2.1,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.4,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.0,2.1,2.2,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.5,2.7,2.9,3.0
40580,"Rocky Mount, NC",40580,3.3,3.3,3.2,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.2,3.1,3.2,3.3,2.9,2.8,2.7,2.7,2.8,2.8,2.9,2.8,2.8,2.8,2.9,3.1,3.7
40660,"Rome, GA",40660,2.7,2.8,2.7,2.6,2.6,2.5,2.5,2.4,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.8,2.9,3.0,3.1,3.2,3.1,3.1,3.0,3.1,3.0,2.9,2.8,2.8,2.8,2.7,2.8,2.8,2.9,3.1,3.0,3.0,3.5
42220,"Santa Rosa, CA",42220,4.6,4.7,4.5,4.3,3.9,3.8,3.9,4.0,4.5,4.8,4.8,4.9,5.2,5.1,5.0,4.9,4.5,4.3,4.5,4.7,5.7,6.3,6.8,7.6,8.8,10.3,9.8,8.9,6.3,5.5,5.8,5.4,5.7,6.8,7.4,7.6,7.8,8.0,8.0,7.7,7.8,8.1,8.4
40900,"Sacramento-Roseville-Arden-Arcade, CA",40900,3.4,3.6,3.6,3.3,3.2,3.1,3.0,3.0,3.1,3.4,4.0,4.0,3.9,3.7,3.5,3.3,3.0,2.9,3.0,2.9,3.0,3.5,4.2,4.9,6.1,6.9,6.6,5.7,3.7,3.1,3.3,3.0,3.1,4.1,4.5,4.6,4.8,5.0,5.0,5.0,5.2,5.9,6.1
41420,"Salem, OR",41420,3.0,2.7,2.8,2.8,2.6,2.4,2.3,2.2,2.1,2.1,2.2,2.2,2.3,2.4,2.6,2.7,2.7,2.8,2.8,2.8,2.8,3.1,3.3,3.7,3.7,4.1,4.8,5.0,4.6,4.0,3.8,3.2,3.2,3.6,3.8,4.0,4.3,4.7,4.9,5.0,5.4,6.2,6.9
41860,"San Francisco-Oakland-Hayward, CA",41860,6.3,6.2,5.7,5.5,5.2,5.1,5.1,5.4,5.9,6.4,6.3,6.1,6.0,5.8,5.8,5.6,5.6,5.7,5.8,5.9,7.1,7.5,8.3,8.9,10.1,10.8,10.8,10.8,8.3,6.6,7.2,6.6,7.2,8.4,8.7,8.7,8.6,8.8,9.1,8.7,9.4,11.3,11.3
40980,"Saginaw, MI",40980,1.9,2.0,1.9,1.8,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.6,2.5,2.4,2.2,2.2,2.1,2.0,2.0,2.0,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.5,2.9
41940,"San Jose-Sunnyvale-Santa Clara, CA",41940,4.7,4.8,4.3,4.0,4.0,4.0,4.1,4.2,4.7,5.8,6.2,6.3,6.3,6.3,6.1,5.8,5.6,5.8,5.9,5.6,6.5,7.0,7.3,7.7,8.4,9.5,9.6,9.9,7.9,6.1,7.1,6.6,7.2,8.3,8.9,9.2,9.2,10.0,10.7,9.6,10.2,11.7,12.0
41500,"Salinas, CA",41500,6.1,6.2,6.0,5.7,5.4,5.3,5.5,5.6,6.3,6.9,6.0,5.8,5.4,5.4,5.6,5.3,5.5,5.8,5.6,6.0,6.9,6.9,7.5,8.6,10.2,11.6,11.3,11.1,5.8,3.8,4.5,4.6,5.3,6.7,7.8,8.0,8.0,8.6,8.4,8.1,9.3,10.4,10.2
41740,"San Diego-Carlsbad, CA",41740,5.7,5.6,5.1,4.8,4.6,4.4,4.3,4.4,4.7,5.2,5.2,5.2,5.2,5.0,4.9,4.7,4.6,4.6,4.8,4.9,5.4,5.9,7.1,8.1,10.0,10.3,9.7,9.1,6.4,5.7,6.2,6.0,6.2,7.2,7.6,7.8,7.7,7.9,7.9,7.7,8.1,9.1,9.5
