Migration16to20_Metro Code of Geography A,Migration16to20_A_Inflow_Estimate,Migration16to20_A_Outflow_Estimate,Migration16to20_A_NetMigration_Estimate,Migration16to20_A_GrossMigration_Estimate,Migration16to20_A_Inflow_MOE,Migration16to20_A_Outflow_MOE,Migration16to20_A_NetMigration_MOE,Migration16to20_A_GrossMigration_MOE
12620,9198.0,7609.0,1589.0,16807.0,861.1109103942418,1004.7870421138999,1321.042012957953,1326.3898371142625
12700,8925.0,10665.0,-1740.0,19590.0,941.7478431087592,1095.2880899562454,1458.149855124637,1431.5477637857564
12940,29228.0,28172.0,1056.0,57400.0,2291.5352932041,1931.1084899611415,2989.8105291138436,3004.1837493735297
12980,6844.0,6956.0,-112.0,13800.0,822.03527904829,853.7517203496576,1218.169528431901,1150.957861956727
13020,4791.0,4362.0,429.0,9153.0,813.6246063142388,772.6862235086115,1095.674221655324,1148.0008710798088
13140,17495.0,18040.0,-545.0,35535.0,1500.8317693865624,1729.9387272386268,2226.9191723095832,2351.8698943606555
13220,4146.0,5055.0,-909.0,9201.0,635.3542319053207,730.4238495558589,941.6166948392536,994.2474541078795
13380,15611.0,12224.0,3387.0,27835.0,1454.1409835363281,1307.4624277584423,1982.1601852524432,1928.5401214390122
13460,14771.0,11774.0,2997.0,26545.0,1782.6718710968657,1115.5926675987073,2076.385320695559,2128.337144345322
13740,8665.0,9656.0,-991.0,18321.0,1234.9255038260405,1041.584370082424,1636.491979815361,1594.1348750968345
13780,11754.0,10350.0,1404.0,22104.0,1103.815654898951,1052.7392839635081,1532.3061051891689,1517.9716729899803
13820,37250.0,39332.0,-2082.0,76582.0,2371.9373937775003,2293.8251895033327,3367.9084013672345,3230.7958771794915
13900,5970.0,5990.0,-20.0,11960.0,816.136630718166,827.8411683408841,1148.378421949838,1175.9808671912992
13980,13461.0,10939.0,2522.0,24400.0,1033.8399295829117,1046.52806937989,1470.9218198123244,1472.227563931609
14010,11788.0,10729.0,1059.0,22517.0,1301.1813862794072,1087.5706873578379,1671.7439995405996,1719.420251131177
14020,19519.0,10722.0,8797.0,30241.0,1359.4421650073975,972.5435722886662,1650.0387874228898,1691.8241634401609
14100,4328.0,4619.0,-291.0,8947.0,462.1449988910407,774.717367818742,902.9003267249382,901.5248194032154
14260,38528.0,26810.0,11718.0,65338.0,2707.7125032026574,1781.6649516674004,3251.3306506721215,3230.189777706567
14460,144590.0,174086.0,-29496.0,318676.0,3882.4175458082814,4498.391379148773,5921.397554631845,5962.76135695535
14500,36040.0,28712.0,7328.0,64752.0,2315.534927397987,1863.5782784739686,2861.2736674425255,3079.691380641898
14540,14677.0,7352.0,7325.0,22029.0,1605.9299486590317,960.6352065170212,1875.1191962112703,1867.3135783793787
14740,22050.0,19799.0,2251.0,41849.0,1766.9683075822272,2093.5223906134847,2810.3563830945,2666.0808314827964
14860,34412.0,48084.0,-13672.0,82496.0,1914.2528568608693,2610.09137771075,3276.742742419673,3195.4093634462547
15180,7354.0,13625.0,-6271.0,20979.0,1316.862559267291,1625.8560821917788,2126.728473501025,2057.3431896501856
15260,6854.0,5817.0,1037.0,12671.0,1100.5653092842788,801.2577612728628,1275.0270585364062,1441.817256104254
