Crosswalk2023_CBSA Code,Labor_Force_2015,Labor_Force_2016,Labor_Force_2017,Labor_Force_2018,Labor_Force_2019,Labor_Force_2020,Labor_Force_2021,Labor_Force_2022,Labor_Force_2023,Labor_Force_2024,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Employed_2024,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployed_2024
31580.0,19133.0,20135.0,19918.0,18795.0,18899.0,18450,18451.0,18860.0,19101.0,19507.0,18043.0,19018.0,18971.0,17971.0,18092.0,17145,17567.0,18035.0,18252.0,18408.0,1090.0,1117.0,947.0,824.0,807.0,1305,884.0,825.0,849.0,1099.0
31620.0,9557.0,9346.0,9100.0,9031.0,9185.0,9003,8823.0,8836.0,8837.0,8903.0,8944.0,8819.0,8644.0,8616.0,8790.0,8387,8363.0,8480.0,8488.0,8547.0,613.0,527.0,456.0,415.0,395.0,616,460.0,356.0,349.0,356.0
31680.0,14198.0,13500.0,13482.0,13327.0,13407.0,13384,13293.0,13300.0,13398.0,13394.0,13494.0,12958.0,12970.0,12824.0,12921.0,12576,12765.0,12846.0,12936.0,12875.0,704.0,542.0,512.0,503.0,486.0,808,528.0,454.0,462.0,519.0
31700.0,230837.0,235707.0,237092.0,240614.0,244395.0,240340,236092.0,238955.0,239186.0,241360.0,222509.0,228623.0,230085.0,234050.0,237930.0,223512,227642.0,232993.0,233538.0,234622.0,8328.0,7084.0,7007.0,6564.0,6465.0,16828,8450.0,5962.0,5648.0,6738.0
31740.0,60028.0,64117.0,63555.0,64200.0,63877.0,62121,61975.0,62842.0,63511.0,64238.0,57610.0,61773.0,61520.0,62301.0,62035.0,59155,60134.0,61139.0,61752.0,62082.0,2418.0,2344.0,2035.0,1899.0,1842.0,2966,1841.0,1703.0,1759.0,2156.0
31820.0,41941.0,44021.0,43972.0,43550.0,43197.0,42729,42956.0,42441.0,42696.0,43243.0,39888.0,42229.0,42481.0,42247.0,41836.0,40096,41510.0,41319.0,41540.0,42038.0,2053.0,1792.0,1491.0,1303.0,1361.0,2633,1446.0,1122.0,1156.0,1205.0
31860.0,60017.0,58284.0,58988.0,59136.0,59862.0,59776,57951.0,58835.0,60009.0,60453.0,58274.0,56436.0,57306.0,57625.0,58171.0,56554,56052.0,57611.0,58607.0,58877.0,1743.0,1848.0,1682.0,1511.0,1691.0,3222,1899.0,1224.0,1402.0,1576.0
31900.0,53777.0,55454.0,55224.0,54748.0,54471.0,53243,52787.0,52189.0,52655.0,53631.0,50738.0,52434.0,52286.0,52125.0,52039.0,48582,49795.0,49859.0,50414.0,50970.0,3039.0,3020.0,2938.0,2623.0,2432.0,4661,2992.0,2330.0,2241.0,2661.0
31930.0,28172.0,28408.0,28142.0,27983.0,28365.0,27456,27226.0,27281.0,27610.0,27700.0,26456.0,26452.0,26443.0,26467.0,26884.0,25168,25701.0,26042.0,26436.0,26316.0,1716.0,1956.0,1699.0,1516.0,1481.0,2288,1525.0,1239.0,1174.0,1384.0
31940.0,32349.0,32910.0,32424.0,32293.0,32114.0,32025,31564.0,31199.0,31328.0,31482.0,30547.0,31209.0,30993.0,31025.0,30778.0,29674,30214.0,30023.0,30151.0,30165.0,1802.0,1701.0,1431.0,1268.0,1336.0,2351,1350.0,1176.0,1177.0,1317.0
